decimal settings
,,交易对信息,,,order book 信息,,,切换交易对界面中的信息,,下单页,,
Base,pair,Last price,24h change,24h volume,Last price,Amount,Total,Last price,24h volume,最小下单数量,最小价格波动,最小下单总金额
USDT,CYB,8,8,2,8,2,6,8,6,1,0.00000001,10
,ETH,2,2,2,2,5,6,2,6,0.00001,0.01,10
,BTC,2,2,2,2,6,6,2,6,0.000001,0.01,10
ETH,JCT,8,8,2,8,0,6,8,6,1,0.00000001,0.01
,BAT,8,8,2,8,0,6,8,6,1,0.00000001,0.01
,CYB,8,8,2,8,2,6,8,6,0.1,0.00000001,0.01
,EOS,6,6,2,6,2,6,6,6,0.01,0.000001,0.01
,MKR,6,6,2,6,2,6,6,6,0.00001,0.000001,0.01
,MVP,6,6,2,6,2,6,6,6,10,0.000001,0.01
,LHT,8,8,2,8,0,6,8,6,1,0.00000001,0.01
,VET,8,8,2,8,0,6,8,6,1,0.00000001,0.01
,MT,6,6,2,6,2,6,6,6,10,0.000001,0.01
,BTC,2,2,2,2,6,6,2,6,0.000001,0.00000001,0.01
,FUN,8,8,2,8,0,6,8,6,1,0.00000001,0.01
,TCT,6,6,2,6,2,6,6,6,1,0.000001,0.01
,GNX,8,8,2,8,0,6,8,6,1,0.00000001,0.01
BTC,LTC,6,6,2,6,2,6,6,6,0.01,0.000001,0.001
CYB,NAS,4,2,2,4,2,5,4,5,0.1,0.0001,10
,INK,4,2,2,4,2,5,4,5,10,0.0001,10
,MT,4,2,2,4,2,5,4,5,1,0.0001,10
,GNX,4,2,2,4,2,5,4,5,1,0.0001,10
,CTXC,4,2,2,4,2,5,4,5,1,0.0001,10
,SNT,4,2,2,4,2,5,4,5,10,0.0001,10
,KEY,4,2,2,4,2,5,4,5,0.1,0.0001,10
